Family,Boards,Stock,Individual boards,ID,On-site (Y/N),User
STM32 Nucleo-32 Boards,,,,,,
F0,NUCLEO-F031K6,6,,,,
,,,NUCLEO-F031K6 -1,,,
,,,NUCLEO-F031K6 -2,,,
,,,NUCLEO-F031K6 -3,,,
,,,NUCLEO-F031K6 -4,,,
,,,NUCLEO-F031K6 -5,,,
,,,NUCLEO-F031K6 -6,,,
F0,NUCLEO-F042K6,6,,,,
,,,NUCLEO-F042K6 -1,,,
,,,NUCLEO-F042K6 -2,,,
,,,NUCLEO-F042K6 -3,,,
,,,NUCLEO-F042K6 -4,,,
,,,NUCLEO-F042K6 -5,,,
,,,NUCLEO-F042K6 -6,,,
F3,NUCLEO-F303K8,4,,,,
,,,NUCLEO-F303K8 - 1,,,
,,,NUCLEO-F303K8 - 2,,,
,,,NUCLEO-F303K8 - 3,,,
,,,NUCLEO-F303K8 - 4,,,
